CarType,Charge,Grids,Memo,Name,Period,Range,Region,id
C,20元/時，大型車加倍,0,,力行路,每日08:00~18:00,進化路~雙十路,東、北區,1
C,20元/時，大型車加倍,0,,三民西路,週一至週六08:00~18:00,自由路~東興路,西、南、南屯區,2
C,20元/時，大型車加倍,0,,三民路,每日08:00~20:00,健行路~崇德路,北區,3
C,累進費率，以三十分鐘計費，大型車加倍，停車30分鐘內離場不收費（每日限一次）,0,,三民路,每日08:00~20:00,崇德路~太平路,北區,4
C,20元/時，大型車加倍,0,,三民路,每日08:00~20:00,太平路~公園路,北區,5
C,累進費率，以三十分鐘計費，大型車加倍，停車30分鐘內離場不收費（每日限一次）,0,,三民路,每日08:00~18:00,公園路~臺灣大道,中區,6
C,累進費率，以三十分鐘計費，大型車加倍，停車30分鐘內離場不收費（每日限一次）,0,,三民路,每日08:00~18:00,臺灣大道~民權路,中區,7
C,20元/時，大型車加倍,0,,三民路,週一至週六08:00~18:00,民權路~林森路,西區,8
C,20元/時，大型車加倍,0,,三民路,週一至週六08:00~18:00,林森路~復興路,西、南區,9
C,20元/時，大型車加倍,0,,三光一街,週一至週六08:00~18:00,三光北二街~三光北一街,北屯區,10
C,20元/時，大型車加倍,0,,三光巷,週一至週六08:00~18:00,太原路~北祥街,北屯區,11
C,20元/時，大型車加倍,0,,三和街,每日08:00~20:00,河南路~永春東七路,南屯區,12
C,20元/時，大型車加倍,0,,三厝街,每日08:00~20:00,五權西路~大墩十二街,南屯區,13
C,20元/時，大型車加倍,0,,三厝街,每日08:00~20:00,公益路~干城街,南屯區,14
C,20元/時，大型車加倍,0,,上安北街,每日08:00~20:00,上安路~福科二路,西屯區,15
C,差別費率，15元/三十分鐘，大型車加倍,0,,上安路,每日08:00~20:00,河南路~黎明路,西屯區,16
C,20元/時，大型車加倍,0,,上安路,每日08:00~20:00,黎明路~青海南街,西屯區,17
C,20元/時，大型車加倍,0,,上墩路,每日08:00~20:00,黎明路~福星西路,西屯區,18
C,20元/時，大型車加倍,0,,大公街,週一至週六08:00~18:00,建成路~和平街,東區,19
C,20元/時，大型車加倍,0,,大忠南街,每日08:00~18:00,福人街~五權西路,西區,20
C,20元/時，大型車加倍,0,,大忠南街,週一至週六08:00~18:00,五權西路~三民西路,西、南區,21
C,20元/時，大型車加倍,0,,大忠街,每日08:00~18:00,華美西街~精誠三十一街,西區,22
C,20元/時，大型車加倍,0,,大明街,週一至週六08:00~18:00,民生路~自立街,西區,23
C,20元/時，大型車加倍,0,,大信街,每日08:00~20:00,漢口路~寧夏路89巷,西屯區,24
C,20元/時，大型車加倍,0,,大勇街,週一至週六08:00~18:00,信義街~立德街67巷,東區,25
C,20元/時，大型車加倍,0,,大英街,每日08:00~20:00,大墩十一街~公益路,南屯區,26
C,20元/時，大型車加倍,0,,大容東(西)街,每日08:00~18:00,臺灣大道~文心路,西屯、南屯區,27
C,差別費率，15元/三十分鐘，大型車加倍,0,,大恩街,每日08:00~20:00,大墩十九街~大隆路,西屯區,28
C,20元/時，大型車加倍,0,,大連路,每日08:00~20:00,遼寧路~河北路,北屯區,29
C,20元/時，大型車加倍,0,,大智路,週一至週六08:00~18:00,建成路~東光園路,東區,30
C,20元/時，大型車加倍,0,,大智路,週一至週六08:00~18:00,亞洲街~益民路,大里區,31
C,20元/時，大型車加倍,0,,大進街,每日08:00~20:00,向上南路~向上路,西區,32
C,20元/時，大型車加倍,0,,大進街,每日08:00~20:00,向上路~大墩十一街,南屯、西區,33
C,20元/時，大型車加倍,0,,大進街,每日08:00~20:00,大業路~大隆路,南屯區,34
C,累進費率，以三十分鐘計費，大型車加倍,0,,大隆路,每日08:00~20:00,精誠路~東興路,西區,35
C,差別費率，15元/三十分鐘，大型車加倍,0,,大隆路,每日08:00~20:00,東興路~大墩路,西屯、南屯區,36
C,差別費率，15元/三十分鐘，大型車加倍,0,,大隆路,每日08:00~20:00,大墩路~文心路,西屯區,37
C,20元/時，大型車加倍,0,,大新街、三民路116巷,週一至週六08:00~18:00,自由路~大全街,西區,38
C,20元/時，大型車加倍,0,,大業北路,每日08:00~18:00,大業路~東興路,西區,39
C,差別費率，15元/三十分鐘，大型車加倍,0,,大業路,每日08:00~20:00,精誠路~文心路,西、南屯區,40
C,20元/時，大型車加倍,0,,大業路,每日08:00~20:00,文心路~黎明路,南屯區,41
C,20元/時，大型車加倍,0,,大業路,每日08:00~20:00,黎明路~博愛街,南屯區,42
C,20元/時，大型車加倍,0,,大誠街,每日08:00~18:00,公園路~臺灣大道,中區,43
C,20元/時，大型車加倍,0,,大誠街49巷、中華路1段182巷,每日08:00~18:00,大誠街~中華路,中區,44
C,20元/時，大型車加倍,0,,大墩七街,每日08:00~20:00,文心路~惠文路,南屯區,45
C,20元/時，大型車加倍,0,,大墩七街,每日08:00~20:00,惠文路~河南路,南屯區,46
C,20元/時，大型車加倍,0,,大墩二十街,每日08:00~20:00,東興路~大墩路,西屯區,47
C,20元/時，大型車加倍,0,,大墩二街,週一至週六08:00~18:00,精誠路~東興路,南屯區,48
C,20元/時，大型車加倍,0,,大墩十一街,每日08:00~20:00,精誠路~文心路,西、南屯區,49
C,20元/時，大型車加倍,0,,大墩十一街,每日08:00~20:00,文心路~惠文路,南屯區,50
C,20元/時，大型車加倍,0,,大墩十一街,每日08:00~20:00,惠文路~黎明路,南屯區,51
C,20元/時，大型車加倍,0,,大墩十一街,每日08:00~20:00,黎明路~永春東七路,南屯區,52
C,20元/時，大型車加倍,0,,大墩十一街,每日08:00~20:00,永春東七路~文心南五路,南屯區,53
C,20元/時，大型車加倍,0,,大墩十九街,每日08:00~20:00,東興路~大安街,西屯區,54
C,20元/時，大型車加倍,0,,大墩十九街,每日08:00~20:00,大容西街~文心路,西屯區,55
C,20元/時，大型車加倍,0,,大墩十二街,每日08:00~20:00,大墩路~文心路,南屯區,56
C,20元/時，大型車加倍,0,,大墩十二街,每日08:00~20:00,文心路~惠文路,南屯區,57
C,20元/時，大型車加倍,0,,大墩十二街,每日08:00~20:00,永春東七路~文心南五路,南屯區,58
C,20元/時，大型車加倍,0,,大墩十街,每日08:00~20:00,大墩路~惠文路,南屯區,59
C,20元/時，大型車加倍,0,,大墩五街,每日08:00~20:00,東興路~文心路,南屯區,60
C,20元/時，大型車加倍,0,,大墩六街,每日08:00~20:00,文心路~惠中路,南屯區,61
C,20元/時，大型車加倍,0,,大墩四街,每日08:00~18:00,精誠路~東興路,南屯區,62
C,20元/時，大型車加倍,0,,大墩四街,每日08:00~20:00,文心路~惠中路,南屯區,63
C,20元/時，大型車加倍,0,,大墩南路,週一至週六08:00~18:00,南屯路~文心南七路,南屯區,64
C,差別費率，15元/三十分鐘，大型車加倍,0,,大墩路,每日08:00~20:00,臺灣大道~大隆路,西屯區,65
C,差別費率，15元/三十分鐘，大型車加倍,0,,大墩路,每日08:00~20:00,大隆路~大業路,西屯、南屯區,66
C,差別費率，15元/三十分鐘，大型車加倍,0,,大墩路,每日08:00~20:00,大業路~公益路,南屯區,67
C,差別費率，15元/三十分鐘，大型車加倍,0,,大墩路,每日08:00~20:00,公益路~向上路,南屯區,68
C,差別費率，15元/三十分鐘，大型車加倍,0,,大墩路,每日08:00~20:00,向上路~五權西路,西、南屯區,69
C,20元/時，大型車加倍,0,,大墩路,週一至週六08:00~18:00,五權西路~南屯路,南屯區,70
C,20元/時，大型車加倍,0,,大慶街,週一至週六08:00~18:00,復興北路~建國南路,南區,71
C,20元/時，大型車加倍,0,,大興街,週一至週六08:00~18:00,東光園路~建成路,東區,72
C,20元/時，大型車加倍,0,,大鵬路,每日08:00~18:00,中清路~中平路,西屯區,73
C,20元/時，大型車加倍,0,,大觀路,每日08:00~20:00,向上路~大業路,南屯區,74
C,20元/時，大型車加倍,0,,山西路,每日08:00~20:00,大連路~太原路,北、北屯區,75
C,20元/時，大型車加倍,0,,工業區一路,每日08:00~18:00,臺灣大道~天助街,西屯區,76
C,20元/時，大型車加倍,0,,工學二街,週一至週六08:00~18:00,忠明南路~工學路,南區,77
C,20元/時，大型車加倍,0,,工學六街,週一至週六08:00~18:00,工學路~高工路,南區,78
C,20元/時，大型車加倍,0,,工學北路,週一至週六08:00~18:00,忠明南路~文心南路,南區,79
C,20元/時，大型車加倍,0,,工學路,週一至週六08:00~18:00,工學一街~復興路,南區,80
C,20元/時，大型車加倍,0,,干城街,週一至週六08:00~18:00,黎明路~黎明路,南屯區,81
C,累進費率，以三十分鐘計費，大型車加倍,0,,中山路,每日08:00~18:00,建國路~綠川西街,中區,82
C,累進費率，以三十分鐘計費，大型車加倍，停車30分鐘內離場不收費（每日限一次）,0,,中山路,每日08:00~18:00,綠川西街~市府路,中區,83
C,20元/時，大型車加倍,0,,中山路,每日08:00~18:00,市府路~三民路,中區,84
C,20元/時，大型車加倍,0,,中山路,每日08:00~18:00,三民路~中華路,中區,85
C,20元/時，大型車加倍,0,,中山路2段283巷,週一至週六08:00~18:00,中山路~興華二路,潭子區,86
C,20元/時，大型車加倍,0,,中山路2段391巷,週一至週六08:00~18:00,中山路~興華一路,潭子區,87
C,20元/時，大型車加倍,0,,中山路-豐原,週一至週六08:00~18:00,中正路~圓環南路,豐原區,88
C,20元/時，大型車加倍,0,,中工二路,每日08:00~18:00,天佑街~水尾巷,西屯區,89
C,20元/時，大型車加倍,0,,中平路,每日08:00~18:00,經貿路~經貿五路,西屯、北屯區,90
C,20元/時，大型車加倍,0,,中正路,週一至週六08:00~18:00,中山路~圓環西路,豐原區,91
C,差別費率，15元/三十分鐘，大型車加倍,0,,中美街,每日08:00~20:00,長春街~美村路1段52巷,西區,92
C,20元/時，大型車加倍,0,,中清西二街,每日08:00~18:00,長安路~中平路,西屯區,93
C,差別費率，15元/三十分鐘，大型車加倍,0,,中清路,每日08:00~20:00,五權路~英才路,北區,94
C,差別費率，15元/三十分鐘，大型車加倍,0,,中清路,每日08:00~20:00,英才路~健行路,北區,95
C,差別費率，15元/三十分鐘，大型車加倍,0,,中清路,每日08:00~20:00,健行路~進化北路,北區,96
C,差別費率，15元/三十分鐘，大型車加倍,0,,中清路,每日08:00~20:00,進化北路~漢口路,北區,97
C,差別費率，15元/三十分鐘，大型車加倍,0,,中清路,每日08:00~20:00,漢口路~文心路,北區,98
C,差別費率，15元/三十分鐘，大型車加倍,0,,中清路,每日08:00~20:00,文心路~敦化路,西屯、北屯區,99
C,20元/時，大型車加倍,0,,中清路,每日08:00~20:00,敦化路~環中路,西屯、北屯區,100
C,差別費率，15元/三十分鐘，大型車加倍,0,,中華路,每日08:00~20:00,五權路~太平路,北區,101
C,20元/時，大型車加倍,0,,中華路,週一至週六08:00~18:00,民權路~四維街,西區,102
C,差別費率，15元/三十分鐘，大型車加倍,0,,中興街,每日08:00~20:00,博館路~臺灣大道,西區,103
C,累進費率，以三十分鐘計費，大型車加倍,0,,中興街,每日08:00~20:00,公益路~公正路,西區,104
C,累進費率，以三十分鐘計費，大型車加倍,0,,中興街、館前路,每日08:00~20:00,臺灣大道~公益路,西區,105
C,20元/時，大型車加倍,0,,五權西一(二）街,每日08:00~20:00,柳川西路~五權西路,西區,106
C,差別費率，15元/三十分鐘，大型車加倍,0,,五權西三(四）街,每日08:00~20:00,柳川西路~五權西路,西區,107
C,差別費率，15元/三十分鐘，大型車加倍,0,,五權西路,每日08:00~20:00,五權路~美村路,西區,108
C,差別費率，15元/三十分鐘，大型車加倍,0,,五權西路,每日08:00~20:00,美村路~忠明南路,西區,109
C,差別費率，15元/三十分鐘，大型車加倍,0,,五權西路,每日08:00~20:00,忠明南路~東興路,西、南屯區,110
C,差別費率，15元/三十分鐘，大型車加倍,0,,五權西路,每日08:00~20:00,東興路~大墩路,南屯區,111
C,差別費率，15元/三十分鐘，大型車加倍,0,,五權西路,每日08:00~20:00,大墩路~文心路,南屯區,112
C,差別費率，15元/三十分鐘，大型車加倍,0,,五權西路,每日08:00~20:00,文心路~黎明路,南屯區,113
C,差別費率，15元/三十分鐘，大型車加倍,0,,五權西路,每日08:00~20:00,黎明路~永春東七路,南屯區,114
C,20元/時，大型車加倍,0,,五權西路,每日08:00~20:00,永春東七路~文心南五路,南屯區,115
C,20元/時，大型車加倍,0,,五權南路,每日08:00~20:00,忠明南路~美村路,南區,116
C,20元/時，大型車加倍,0,,五權南路,每日08:00~20:00,美村路~復興路,南區,117
C,20元/時，大型車加倍,0,,五權南路368巷,每日08:00~18:00,永南街~五權南路,南區,118
C,20元/時，大型車加倍,0,,五權南路380巷,每日08:00~18:00,永南街~五權南路,南區,119
C,差別費率，15元/三十分鐘，大型車加倍,0,,五權路,每日08:00~20:00,崇德路~學士路,北區,120
C,差別費率，15元/三十分鐘，大型車加倍,0,,五權路,每日08:00~20:00,學士路~柳川東（西）路,北區,121
C,差別費率，15元/三十分鐘，大型車加倍,0,,五權路,每日08:00~20:00,柳川東（西）路~中清路,北區,122
C,差別費率，15元/三十分鐘，大型車加倍,0,,五權路,每日08:00~20:00,中清路~臺灣大道,西、北區,123
C,差別費率，15元/三十分鐘，大型車加倍,0,,五權路,每日08:00~20:00,臺灣大道~民權路,西區,124
C,差別費率，15元/三十分鐘，大型車加倍,0,,五權路,每日08:00~20:00,民權路~五權西路,西區,125
C,20元/時，大型車加倍,0,,五權路,每日08:00~20:00,五權西路~三民西路,西區,126
C,20元/時，大型車加倍,0,,仁平路,每日08:00~18:00,敦化路~經貿二路,北屯區,127
C,20元/時，大型車加倍,0,,仁和路,週一至週六08:00~18:00,正義街~國光路,南區,128
C,20元/時，大型車加倍,0,,仁和路,週一至週六08:00~18:00,大智路~合作街,東、南區,129
C,20元/時，大型車加倍,0,,仁愛街,每日08:00~18:00,民族路~民權路,中區,130
C,累進費率，以三十分鐘計費，大型車加倍,0,,公正路,每日08:00~20:00,公益路155巷~中興街,西區,131
C,累進費率，以三十分鐘計費，大型車加倍，停車30分鐘內離場不收費（每日限一次）,0,,公益路,每日08:00~20:00,臺灣大道~英才路,西區,132
C,累進費率，以三十分鐘計費，大型車加倍，停車30分鐘內離場不收費（每日限一次）,0,,公益路,每日08:00~20:00,英才路~忠明南路,西區,133
C,累進費率，以三十分鐘計費，大型車加倍，停車30分鐘內離場不收費（每日限一次）,0,,公益路,每日08:00~20:00,忠明南路~文心路,西、南屯區,134
C,差別費率，15元/三十分鐘，大型車加倍,0,,公益路,每日08:00~20:00,文心路~惠文路,南屯區,135
C,差別費率，15元/三十分鐘，大型車加倍,0,,公益路,每日08:00~20:00,惠文路~惠中路,南屯區,136
C,差別費率，15元/三十分鐘，大型車加倍,0,,公益路,每日08:00~20:00,惠中路~黎明路,南屯區,137
C,20元/時，大型車加倍,0,,公益路,每日08:00~20:00,黎明路~永春東七路,南屯區,138
C,20元/時，大型車加倍,0,,公益路,每日08:00~20:00,永春東七路~環中路,南屯區,139
C,累進費率，以三十分鐘計費，大型車加倍,0,,公益路155巷,每日08:00~20:00,公正路~公益路,西區,140
C,差別費率，15元/三十分鐘，大型車加倍,0,,公益路155巷,每日08:00~20:00,向上路~公正路,西區,141
C,20元/時，大型車加倍，大客車停車第1小時免費,0,,公園東路,每日08:00~20:00,復興路~雙十路,東區,142
C,20元/時，大型車加倍,0,,公園路,每日08:00~18:00,市府路~平等街,中區,143
C,20元/時，大型車加倍,0,,公園路,每日08:00~18:00,三民路~興中街,中區,144
C,20元/時，大型車加倍,0,,公園路,每日08:00~20:00,中華路~五權路,北區,145
C,20元/時，大型車加倍,0,,公館路,週一至週六08:00~18:00,自由路~三民路,西區,146
C,20元/時，大型車加倍,0,,公館路46巷,週一至週六08:00~18:00,貴和街~公館路,西區,147
C,20元/時，大型車加倍,0,,公館路82巷,週一至週六08:00~18:00,公館路46巷~三民路,西區,148
C,20元/時，大型車加倍,0,,天佑街,每日08:00~18:00,中工三路~工業區一路,西屯區,149
C,20元/時，大型車加倍,0,,天助街,每日08:00~18:00,福安十街1巷~工業區一路,西屯區,150
C,20元/時，大型車加倍,0,,天津路,週一至週六08:00~18:00,文昌東八街~柳陽東街,北屯區,151
C,20元/時，大型車加倍,0,,天津路,每日08:00~20:00,中清路~陝西路,北區,152
C,累進費率，以三十分鐘計費，大型車加倍，停車30分鐘內離場不收費（每日限一次）,0,,太平路,每日08:00~20:00,雙十路~三民路,北區,153
C,累進費率，以三十分鐘計費，大型車加倍，停車30分鐘內離場不收費（每日限一次）,0,,太平路,每日08:00~20:00,三民路~中華路,北區,154
C,20元/時，大型車加倍,0,,太原（北）路,每日08:00~18:00,中清路~華美街,北區,155
C,20元/時，大型車加倍,0,,太原南二街,每日08:00~18:00,忠太西路~忠明六街,北區,156
C,20元/時，大型車加倍,0,,太原路,週一至週六08:00~18:00,旱溪西路~東光路,北屯區,157
C,20元/時，大型車加倍,0,,太原路,每日08:00~18:00,邱厝北巷~中清路,北區,158
C,20元/時，大型車加倍,0,,太原路,每日08:00~20:00,寧漢二街~西屯路,西屯區,159
C,20元/時，大型車加倍,0,,太原路3段101巷,週一至週六08:00~18:00,太原路~崇興路,北屯、北區,160
C,20元/時，大型車加倍,0,,文中路,每日08:00~20:00,文心路~惠中路,西屯區,161
C,20元/時，大型車加倍,0,,文化街,每日08:00~18:00,中清路~英士路,北區,162
C,20元/時，大型車加倍,0,,文心一路,每日08:00~20:00,文心路~惠中路,西屯、南屯區,163
C,20元/時，大型車加倍,0,,文心一路,每日08:00~20:00,惠中路~黎明路,西屯、南屯區,164
C,20元/時，大型車加倍,0,,文心南一路,週一至週六08:00~18:00,文心南路~向心南路,南屯區,165
C,20元/時，大型車加倍,0,,文心南七路,週一至週六08:00~18:00,東興路~文心南路,南屯區,166
C,20元/時，大型車加倍,0,,文心南七路,週一至週六08:00~18:00,文心南路~永春東一路,南屯區,167
C,20元/時，大型車加倍,0,,文心南二路,週一至週六08:00~18:00,大墩南路~文心南路,南屯區,168
C,20元/時，大型車加倍,0,,文心南二路,週一至週六08:00~18:00,文心南路~永春東一路,南屯區,169
C,20元/時，大型車加倍,0,,文心南十路,週一至週六08:00~18:00,復興路2段15巷~文心南路,南區,170
C,20元/時，大型車加倍,0,,文心南三路,週一至週六08:00~18:00,精誠南路~文心南路,南屯區,171
C,20元/時，大型車加倍,0,,文心南三路,週一至週六08:00~18:00,文心南路~永春東一路,南屯區,172
C,20元/時，大型車加倍,0,,文心南五路,週一至週六08:00~18:00,精誠南路~文心南路,南屯區,173
C,20元/時，大型車加倍,0,,文心南五路,週一至週六08:00~18:00,文心南路~永春東一路,南屯區,174
C,20元/時，大型車加倍,0,,文心南五路,每日08:00~20:00,大墩十一街~公益路,南屯區,175
C,20元/時，大型車加倍,0,,文心南六路,週一至週六08:00~18:00,東興路~文心南路,南屯區,176
C,20元/時，大型車加倍,0,,文心南路,週一至週六08:00~18:00,福田二街~復興路,南區,177
C,20元/時，大型車加倍,0,,文心南路,每日08:00~20:00,復興路~大忠南街,南區,178
C,20元/時，大型車加倍,0,,文心南路,每日08:00~20:00,大忠南街~文心南七路,南屯區,179
C,累進費率，以三十分鐘計費，大型車加倍,0,,文心南路,每日08:00~20:00,文心南七路~南屯路,南屯區,180
C,20元/時，大型車加倍,0,,文心南路901巷,週一至週六08:00~18:00,文心南路~福田二街,南區,181
C,累進費率，以三十分鐘計費，大型車加倍,0,,文心路,每日08:00~20:00,北屯路~中清路,北、北屯區,182
C,累進費率，以三十分鐘計費，大型車加倍,0,,文心路,每日08:00~20:00,中清路~臺灣大道,北屯、北、西屯區,183
C,累進費率，以三十分鐘計費，大型車加倍,0,,文心路,每日08:00~20:00,臺灣大道~南屯路,西屯、南屯區,184
C,20元/時，大型車加倍,0,,文昌東八街,週一至週六08:00~18:00,天津路~青島路,北屯區,185
C,20元/時，大型車加倍,0,,文昌東十二街,每日08:00~20:00,文心路~昌平路,北屯區,186
C,20元/時，大型車加倍,0,,日興街,每日08:00~18:00,文化街~英士路,北區,187
C,20元/時，大型車加倍,0,,北屯路,每日08:00~20:00,潭子區中山路1段1巷~松竹路,北屯區,188
C,差別費率，15元/三十分鐘，大型車加倍,0,,北屯路,每日08:00~20:00,文心路~昌平路,北屯區,189
C,差別費率，15元/三十分鐘，大型車加倍,0,,北屯路,每日08:00~20:00,昌平路~進化北路,北屯區,190
C,差別費率，15元/三十分鐘，大型車加倍,0,,北屯路,每日08:00~20:00,進化北路~健行路,北屯、北區,191
C,20元/時，大型車加倍,0,,北屯路439-17巷,週一至週六08:00~18:00,北屯路~松竹路2段7巷,北屯區,192
C,20元/時，大型車加倍,0,,北屯路441之19號~56號前,週一至週六08:00~18:00,441之19號~441之56號,北屯區,193
C,20元/時，大型車加倍,0,,北屯路473巷6弄,每日08:00~20:00,北屯路473巷6弄~松明街9巷,北屯區,194
C,20元/時，大型車加倍,0,,北平二街,每日08:00~20:00,天津路~北平路,北區,195
C,20元/時，大型車加倍,0,,北平路,每日08:00~20:00,文昌東十二街~興安路,北屯區,196
C,20元/時，大型車加倍,0,,北平路,每日08:00~20:00,中清路~陝西路,北區,197
C,20元/時，大型車加倍,0,,北興街,週一至週六08:00~18:00,國校巷~柳陽東街,北屯區,198
C,20元/時，大型車加倍,0,,台中路,週一至週六08:00~18:00,興大路~忠孝路,東、南區,199
C,20元/時，大型車加倍,0,,台中路,每日08:00~20:00,忠孝路~建國路,東、南區,200
C,20元/時，大型車加倍,0,,四川路,每日08:00~20:00,漢口路~文心路,西屯區,201
C,20元/時，大型車加倍,0,,四平路,每日08:00~20:00,崇德十九路~環中路,北屯區,202
C,20元/時，大型車加倍,0,,四維街,週一至週六08:00~18:00,市府路~三民路,西區,203
C,20元/時，大型車加倍,0,,四維街,週一至週六08:00~18:00,三民路~柳川東路,西區,204
C,累進費率，以三十分鐘計費，大型車加倍，停車30分鐘內離場不收費（每日限一次）,0,,市府路,每日08:00~18:00,公園路~臺灣大道,中區,205
C,累進費率，以三十分鐘計費，大型車加倍，停車30分鐘內離場不收費（每日限一次）,0,,市府路,每日08:00~18:00,臺灣大道~民權路,中區,206
C,20元/時，大型車加倍,0,,市府路,週一至週六08:00~18:00,民權路~康樂街,西區,207
